Method,ComponentRank,Eigenvalue,EnergyFraction,CumulativeEnergy
LV-GGM,1,2.84510129807395,0.0308039755285823,0.0308039755285823
LV-GGM,2,2.05238607477449,0.02222123003682,0.0530252055654023
LV-GGM,3,1.76960619431856,0.0191595659324745,0.0721847714978767
LV-GGM,4,1.63911027463579,0.0177466836849393,0.089931455182816
LV-GGM,5,1.58167285682541,0.0171248074748185,0.107056262657634
LV-GGM,6,1.52138943085089,0.0164721174705099,0.123528380128144
LV-GGM,7,1.44367983809533,0.015630753967847,0.139159134095991
LV-GGM,8,1.43709302127822,0.0155594383545215,0.154718572450513
LV-GGM,9,1.39809729191874,0.015137230718638,0.169855803169151
LV-GGM,10,1.35404596536876,0.0146602860186494,0.1845160891878
LV-GGM,11,1.31614087751418,0.0142498867827867,0.198765975970587
LV-GGM,12,1.25796264546224,0.013619989760267,0.212385965730854
LV-GGM,13,1.24956148395861,0.013529030196351,0.225914995927205
LV-GGM,14,1.2424761884173,0.0134523175427049,0.23936731346991
LV-GGM,15,1.21592303358543,0.0131648259401383,0.252532139410048
LV-GGM,16,1.1845330757046,0.0128249661625412,0.265357105572589
LV-GGM,17,1.16877617597277,0.0126543658559462,0.278011471428536
LV-GGM,18,1.1329280660663,0.0122662375664359,0.290277708994972
LV-GGM,19,1.13099232766856,0.0122452792834131,0.302522988278385
LV-GGM,20,1.09276746692804,0.0118314178593466,0.314354406137731
LV-GGM,21,1.06266854405003,0.0115055361466643,0.325859942284395
LV-GGM,22,1.0453162460499,0.0113176624272566,0.337177604711652
LV-GGM,23,1.02884300136245,0.0111393062377697,0.348316910949422
LV-GGM,24,1.00708776245791,0.010903761778496,0.359220672727918
LV-GGM,25,0.98973326918186,0.0107158642907868,0.369936537018704
LV-GGM,26,0.983098563327624,0.0106440301817828,0.380580567200487
LV-GGM,27,0.965950004935636,0.0104583623556794,0.391038929556167
LV-GGM,28,0.955973061021771,0.0103503417602859,0.401389271316453
LV-GGM,29,0.943569851549804,0.0102160519333089,0.411605323249762
LV-GGM,30,0.917871689763003,0.00993781735960638,0.421543140609368
LV-GGM,31,0.878944511354254,0.00951635192640313,0.431059492535771
LV-GGM,32,0.865988863148222,0.00937608083286924,0.44043557336864
LV-GGM,33,0.812648107853703,0.0087985592796364,0.449234132648277
LV-GGM,34,0.797854334403533,0.00863838676288175,0.457872519411158
LV-GGM,35,0.787106688840006,0.00852202176345171,0.46639454117461
LV-GGM,36,0.764547641912347,0.00827777445669389,0.474672315631304
LV-GGM,37,0.759588533267696,0.00822408207623742,0.482896397707541
LV-GGM,38,0.736273315062293,0.0079716476861055,0.490868045393647
LV-GGM,39,0.715073398981032,0.00774211571948722,0.498610161113134
LV-GGM,40,0.705666373656667,0.00764026564543725,0.506250426758571
LV-GGM,41,0.679451813143043,0.00735644001114406,0.513606866769716
LV-GGM,42,0.659003177924061,0.007135042179262,0.520741908948978
LV-GGM,43,0.656787685292445,0.00711105499087814,0.527852963939856
LV-GGM,44,0.642402434036675,0.00695530555307948,0.534808269492935
LV-GGM,45,0.630950189637178,0.00683131184625847,0.541639581339194
LV-GGM,46,0.621116827244343,0.00672484581121163,0.548364427150405
LV-GGM,47,0.604274016452513,0.00654248832122865,0.554906915471634
LV-GGM,48,0.594953420824011,0.00644157402343316,0.561348489495067
LV-GGM,49,0.58620996756484,0.00634690845900734,0.567695397954074
LV-GGM,50,0.569030358158382,0.00616090444287427,0.573856302396949
LV-GGM,51,0.56248548318141,0.00609004293479203,0.579946345331741
LV-GGM,52,0.556450587494284,0.00602470298391238,0.585971048315653
LV-GGM,53,0.537015568885379,0.00581427960178834,0.591785327917441
LV-GGM,54,0.513745666635152,0.0055623358485189,0.59734766376596
LV-GGM,55,0.508223630044015,0.00550254863456751,0.602850212400528
LV-GGM,56,0.489220833507908,0.00529680493051411,0.608147017331042
LV-GGM,57,0.479562893315052,0.00519223819555861,0.613339255526601
LV-GGM,58,0.470674266044007,0.00509600082885208,0.618435256355453
LV-GGM,59,0.463203903611872,0.00501511904734754,0.6234503754028
LV-GGM,60,0.443003460487529,0.00479640839683747,0.628246783799638
LV-GGM,61,0.437954725052353,0.00474174562511095,0.632988529424749
LV-GGM,62,0.421083666275116,0.00455908229355678,0.637547611718305
LV-GGM,63,0.404294783503587,0.00437730868345843,0.641924920401764
LV-GGM,64,0.398636253797181,0.00431604365548846,0.646240964057252
LV-GGM,65,0.390011716306437,0.00422266559475295,0.650463629652005
LV-GGM,66,0.387167604214968,0.00419187232938645,0.654655501981392
LV-GGM,67,0.379345563331507,0.00410718291740636,0.658762684898798
LV-GGM,68,0.370398063915367,0.00401030814066524,0.662772993039463
LV-GGM,69,0.366070987156614,0.00396345878360468,0.666736451823068
LV-GGM,70,0.354375422671562,0.00383683064476323,0.670573282467831
LV-GGM,71,0.340419064600312,0.00368572484308722,0.674259007310918
LV-GGM,72,0.33270842101257,0.00360224153212489,0.677861248843043
LV-GGM,73,0.326721021906032,0.00353741582778793,0.681398664670831
LV-GGM,74,0.321625212688659,0.00348224338716639,0.684880908057998
LV-GGM,75,0.318460063841116,0.00344797424964568,0.688328882307643
LV-GGM,76,0.306280322778355,0.00331610392014432,0.691644986227787
LV-GGM,77,0.298465225772083,0.00323148968967819,0.694876475917466
LV-GGM,78,0.296317312330935,0.00320823418270436,0.69808471010017
LV-GGM,79,0.285715101469661,0.0030934438080556,0.701178153908226
LV-GGM,80,0.285394157169965,0.00308996893692868,0.704268122845154
LV-GGM,81,0.280385470029984,0.00303573976899193,0.707303862614146
LV-GGM,82,0.272484544850793,0.00295019627497373,0.71025405888912
LV-GGM,83,0.271367858090909,0.00293810588239338,0.713192164771513
LV-GGM,84,0.267269468681486,0.00289373252839016,0.716085897299904
LV-GGM,85,0.249166346169077,0.00269772961515798,0.718783626915062
LV-GGM,86,0.243813098436204,0.0026397698819585,0.72142339679702
LV-GGM,87,0.240784962454194,0.00260698418580412,0.724030380982824
LV-GGM,88,0.235540192048334,0.00255019893905579,0.72658057992188
LV-GGM,89,0.229169627494083,0.0024812246938276,0.729061804615708
LV-GGM,90,0.226291503323053,0.00245006317891329,0.731511867794621
LV-GGM,91,0.219039614442058,0.00237154681544413,0.733883414610065
LV-GGM,92,0.21840910176316,0.00236472024053645,0.736248134850602
LV-GGM,93,0.213151738979041,0.00230779865582644,0.738555933506428
LV-GGM,94,0.208772131455278,0.00226038054699561,0.740816314053424
LV-GGM,95,0.206186560094053,0.00223238650791079,0.743048700561334
LV-GGM,96,0.201475625140397,0.00218138110956965,0.745230081670904
LV-GGM,97,0.200244569965238,0.0021680524475935,0.747398134118498
LV-GGM,98,0.195116129340495,0.00211252670599291,0.74951066082449
