Method,TopK,MarkTCount,PositiveRate,Recall,EnrichmentFold
HR-GGM,10,6,0.6,0.0120481927710843,3.56385542168675
HR-GGM,20,10,0.5,0.0200803212851406,2.96987951807229
HR-GGM,30,14,0.466666666666667,0.0281124497991968,2.7718875502008
HR-GGM,50,19,0.38,0.0381526104417671,2.25710843373494
HR-GGM,75,28,0.373333333333333,0.0562248995983936,2.21751004016064
HR-GGM,100,34,0.34,0.0682730923694779,2.01951807228916
HR-GGM,150,46,0.306666666666667,0.0923694779116466,1.82152610441767
HR-GGM,200,67,0.335,0.134538152610442,1.98981927710843
HR-GGM,300,107,0.356666666666667,0.214859437751004,2.1185140562249
HR-GGM,500,137,0.274,0.275100401606426,1.62749397590361
HR-GGM,721,184,0.255201109570042,0.369477911646586,1.51583309660278
HR-GGM,750,187,0.249333333333333,0.375502008032129,1.48097991967871
HR-GGM,1000,222,0.222,0.44578313253012,1.3186265060241
HR-GGM,2958,498,0.168356997971602,1,1
LV-GGM,10,1,0.1,0.00200803212851406,0.593975903614458
LV-GGM,20,2,0.1,0.00401606425702811,0.593975903614458
LV-GGM,30,5,0.166666666666667,0.0100401606425703,0.98995983935743
LV-GGM,50,8,0.16,0.0160642570281124,0.950361445783133
LV-GGM,75,12,0.16,0.0240963855421687,0.950361445783133
LV-GGM,100,20,0.2,0.0401606425702811,1.18795180722892
LV-GGM,150,27,0.18,0.0542168674698795,1.06915662650602
LV-GGM,200,41,0.205,0.0823293172690763,1.21765060240964
LV-GGM,300,60,0.2,0.120481927710843,1.18795180722892
LV-GGM,500,101,0.202,0.20281124497992,1.1998313253012
LV-GGM,721,145,0.201109570041609,0.291164658634538,1.1945423859098
LV-GGM,750,149,0.198666666666667,0.299196787148594,1.18003212851406
LV-GGM,1000,184,0.184,0.369477911646586,1.0929156626506
LV-GGM,2958,498,0.168356997971602,1,1
Prior correlation,10,2,0.2,0.00401606425702811,1.18795180722892
Prior correlation,20,4,0.2,0.00803212851405622,1.18795180722892
Prior correlation,30,6,0.2,0.0120481927710843,1.18795180722892
Prior correlation,50,9,0.18,0.0180722891566265,1.06915662650602
Prior correlation,75,14,0.186666666666667,0.0281124497991968,1.10875502008032
Prior correlation,100,19,0.19,0.0381526104417671,1.12855421686747
Prior correlation,150,29,0.193333333333333,0.0582329317269076,1.14835341365462
Prior correlation,200,43,0.215,0.0863453815261044,1.27704819277108
Prior correlation,300,61,0.203333333333333,0.122489959839357,1.20775100401606
Prior correlation,500,106,0.212,0.21285140562249,1.25922891566265
Prior correlation,721,155,0.21497919556172,0.311244979919679,1.27692461942082
Prior correlation,750,166,0.221333333333333,0.333333333333333,1.31466666666667
Prior correlation,1000,219,0.219,0.439759036144578,1.30080722891566
Prior correlation,2958,498,0.168356997971602,1,1
