Condition,Setting,NoisePct,RepeatID,NCandidate,NTrue,PositiveFraction,F1AtZero,MaximumF1,BestThreshold,HighF1ThresholdLow,HighF1ThresholdHigh,HighF1ThresholdWidth,PrecisionAtBestThreshold,RecallAtBestThreshold,AUPRC,NormalizedAUPRC,PrecisionAtTrueEdgeBudget,RecallAtTrueEdgeBudget,F1AtTrueEdgeBudget,FPBeforeLastTrueEdge,LastTrueEdgeRankRatio,BlockRelativeFrobeniusError,FalseSupportEnergyFraction,TrueSupportEnergyFraction,ScaleAlignedTrueSupportNRMSE,TrueSupportMagnitudeRatio,AbsolutePearsonTrueSupport,SignAgreementTrueSupport,SignInvariantRelativeFrobeniusError
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,500,75,0.15,0.37037037037037,1,0.132847024122605,0.0273508579075952,0.332117560306513,0.304766702398918,1,1,1,1,1,1,1,0,1,1.71907913763172,0.00802094596008594,0.991979054039914,0.106413761872444,0.720237700440549,0.785844784101795,1,0.301065614681961
Data_LLbetween_0100_LH_075_noise_000pct_rep_02,Full_HG,0,2,500,75,0.15,0.980392156862745,1,0.122427649681616,0,0.338629669332131,0.338629669332131,1,1,1,1,1,1,1,0,1,0.3576071680262,2.97293498993543e-06,0.99999702706501,0.0852581154380725,0.649065523644519,0.8732799427262,1,0.3576071680262
Data_LLbetween_0100_LH_075_noise_000pct_rep_03,Full_HG,0,3,500,75,0.15,0.464396284829721,1,0.136754289537976,0.0182339052717301,0.338629669332131,0.320395764060401,1,1,1,1,1,1,1,0,1,1.70049427754676,0.00179073795056634,0.998209262049434,0.105380239562432,0.702533049662598,0.78868973669158,1,0.311761771050849
Data_LLbetween_0100_LH_075_noise_010pct_rep_01,Full_HG,10,1,500,75,0.15,0.367647058823529,1,0.132847024122605,0.0273508579075952,0.328210294891142,0.300859436983547,1,1,1,1,1,1,1,0,1,1.72255497277406,0.00671775270627609,0.993282247293724,0.097223626001066,0.72351689789222,0.828331135896105,1,0.294683744995348
Data_LLbetween_0100_LH_075_noise_010pct_rep_02,Full_HG,10,2,500,75,0.15,0.967741935483871,1,0.122427649681616,0,0.333419982111636,0.333419982111636,1,1,1,1,1,1,1,0,1,0.354135093751785,2.80003705769889e-05,0.999971999629423,0.0783538553675469,0.651584547821509,0.886892529845507,1,0.354135093751785
Data_LLbetween_0100_LH_075_noise_010pct_rep_03,Full_HG,10,3,500,75,0.15,0.498338870431894,1,0.143266398563594,0.0169314834666065,0.332117560306513,0.315186076839906,1,1,1,1,1,1,1,0,1,0.307508254847634,0.00173229163448947,0.99826770836551,0.0961498939156497,0.704756069366861,0.828169907400666,1,0.307508254847634
Data_LLbetween_0100_LH_075_noise_025pct_rep_01,Full_HG,25,1,500,75,0.15,0.37593984962406,1,0.131544602317482,0.0260484361024716,0.309976389619412,0.28392795351694,1,1,1,1,1,1,1,0,1,0.312210285445944,0.00528282972787006,0.99471717027213,0.0880748424273349,0.700972342111794,0.87089930469069,1,0.312210285445944
Data_LLbetween_0100_LH_075_noise_025pct_rep_02,Full_HG,25,2,500,75,0.15,0.961538461538461,1,0.119822806071369,0,0.312581233229659,0.312581233229659,1,1,1,1,1,1,1,0,1,0.370803033959207,0.000121460083562657,0.999878539916437,0.0671669875086832,0.633139511772912,0.915041211355021,1,0.370803033959207
Data_LLbetween_0100_LH_075_noise_025pct_rep_03,Full_HG,25,3,500,75,0.15,0.539568345323741,1,0.140661554953347,0.015629061661483,0.309976389619412,0.294347327957929,1,1,1,1,1,1,1,0,1,0.330875112206214,0.00189303001157812,0.998106969988422,0.0884395704960151,0.678617613650061,0.860100797671495,1,0.330875112206214
Data_LLbetween_0100_LH_075_noise_050pct_rep_01,Full_HG,50,1,500,75,0.15,0.914634146341463,1,0.104193744409886,0,0.250064986583727,0.250064986583727,1,1,1,1,1,1,1,0,1,0.433479272843324,0.000360660194384253,0.999639339805616,0.0706020734581261,0.569950555494446,0.913420837918091,1,0.433479272843324
Data_LLbetween_0100_LH_075_noise_050pct_rep_02,Full_HG,50,2,500,75,0.15,0.898203592814371,1,0.114613118850875,0.00130242180512358,0.264391626440087,0.263089204634963,1,1,1,1,1,1,1,0,1,0.474358041420923,0.000756992640949781,0.99924300735905,0.0669656456855893,0.528373073022937,0.917849032085024,1,0.474358041420923
Data_LLbetween_0100_LH_075_noise_050pct_rep_03,Full_HG,50,3,500,75,0.15,0.9375,1,0.110705853435504,0,0.248762564778604,0.248762564778604,1,1,1,1,1,1,1,0,1,1.54597476309334,0.000229127943556007,0.999770872056444,0.0756764969133021,0.546966820323458,0.897540448252545,1,0.45655729763121
