Condition,Setting,NoisePct,RepeatID,NCandidate,NTrue,PositiveFraction,F1AtZero,MaximumF1,BestThreshold,HighF1ThresholdLow,HighF1ThresholdHigh,HighF1ThresholdWidth,PrecisionAtBestThreshold,RecallAtBestThreshold,AUPRC,NormalizedAUPRC,PrecisionAtTrueEdgeBudget,RecallAtTrueEdgeBudget,F1AtTrueEdgeBudget,FPBeforeLastTrueEdge,LastTrueEdgeRankRatio,BlockRelativeFrobeniusError,FalseSupportEnergyFraction,TrueSupportEnergyFraction,ScaleAlignedTrueSupportNRMSE,TrueSupportMagnitudeRatio,AbsolutePearsonTrueSupport,SignAgreementTrueSupport,SignInvariantRelativeFrobeniusError
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,124750,600,0.00480961923847695,0.532386867790595,1,0.0330111700137515,0.010648764520565,0.070281845835729,0.059633081315164,1,1,1,1,1,1,1,0,1,0.177213232525066,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data_LLbetween_0100_LH_075_noise_000pct_rep_02,Full_HG,0,2,124750,600,0.00480961923847695,0.535236396074933,1,0.036205799369921,0.010648764520565,0.0713467222877854,0.0606979577672205,1,1,1,1,1,1,1,0,1,0.180514117555158,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data_LLbetween_0100_LH_075_noise_000pct_rep_03,Full_HG,0,3,124750,600,0.00480961923847695,0.530973451327434,1,0.0351409229178645,0.010648764520565,0.074541351643955,0.06389258712339,1,1,1,1,1,1,1,0,1,0.172229780062501,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data_LLbetween_0100_LH_075_noise_010pct_rep_01,Full_HG,10,1,124750,600,0.00480961923847695,0.609446419502285,1,0.027686787753469,0.0074541351643955,0.0606979577672205,0.053243822602825,1,1,1,1,1,1,1,0,1,0.276375546562974,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data_LLbetween_0100_LH_075_noise_010pct_rep_02,Full_HG,10,2,124750,600,0.00480961923847695,0.608210846426761,1,0.0308814171096385,0.0074541351643955,0.0628277106713335,0.055373575506938,1,1,1,1,1,1,1,0,1,0.280250763887342,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data_LLbetween_0100_LH_075_noise_010pct_rep_03,Full_HG,10,3,124750,600,0.00480961923847695,0.616966580976864,1,0.029816540657582,0.0074541351643955,0.0649574635754465,0.057503328411051,1,1,1,1,1,1,1,0,1,0.272917541153285,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data_LLbetween_0100_LH_075_noise_025pct_rep_01,Full_HG,25,1,124750,600,0.00480961923847695,0.831600831600832,1,0.0202326525890735,0.002129752904113,0.0479194403425425,0.0457896874384295,1,1,1,1,1,1,1,0,1,0.439845308696385,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data_LLbetween_0100_LH_075_noise_025pct_rep_02,Full_HG,25,2,124750,600,0.00480961923847695,0.841514726507714,1,0.02129752904113,0.002129752904113,0.048984316794599,0.046854563890486,1,1,1,1,1,1,1,0,1,0.444432928655144,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data_LLbetween_0100_LH_075_noise_025pct_rep_03,Full_HG,25,3,124750,600,0.00480961923847695,0.841514726507714,1,0.0202326525890735,0.002129752904113,0.0500491932466555,0.0479194403425425,1,1,1,1,1,1,1,0,1,0.437134930991306,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data_LLbetween_0100_LH_075_noise_050pct_rep_01,Full_HG,50,1,124750,600,0.00480961923847695,0.90702947845805,1,0.0053243822602825,0,0.0266219113014125,0.0266219113014125,1,1,1,1,1,1,1,0,1,0.682269677056121,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data_LLbetween_0100_LH_075_noise_050pct_rep_02,Full_HG,50,2,124750,600,0.00480961923847695,0.866425992779783,1,0.0117136409726215,0.0010648764520565,0.0287516642055255,0.027686787753469,1,1,1,1,1,1,1,0,1,0.672486741208032,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data_LLbetween_0100_LH_075_noise_050pct_rep_03,Full_HG,50,3,124750,600,0.00480961923847695,0.908402725208176,0.999167360532889,0.006389258712339,0,0.0287516642055255,0.0287516642055255,0.998336106489185,1,1,1,1,1,1,0,1,0.679489685484099,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data_LLonly_fromInputTheta_noise_000pct_rep_01,Observed_only_HGmodel,0,1,124750,600,0.00480961923847695,0.98019801980198,0.991638795986622,0.0436599345343165,0,0.0670872164795595,0.0670872164795595,0.99496644295302,0.988333333333333,0.989542737185556,0.989492198662087,0.988333333333333,0.988333333333333,0.988333333333333,124150,207.916666666667,0.30258961800487,NaN,NaN,NaN,NaN,NaN,NaN,NaN
