Condition,Setting,NoisePct,RepeatID,Threshold,NPredicted,TP,FP,FN,Precision,Recall,F1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0,1654,600,1054,0,0.362756952841596,1,0.532386867790595
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0010648764520565,1495,600,895,0,0.40133779264214,1,0.572792362768496
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.002129752904113,1321,600,721,0,0.454201362604088,1,0.62467464862051
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0031946293561695,1215,600,615,0,0.493827160493827,1,0.661157024793388
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.004259505808226,1084,600,484,0,0.553505535055351,1,0.712589073634204
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0053243822602825,991,600,391,0,0.605449041372351,1,0.754242614707731
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.006389258712339,928,600,328,0,0.646551724137931,1,0.785340314136126
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0074541351643955,856,600,256,0,0.700934579439252,1,0.824175824175824
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.008519011616452,804,600,204,0,0.746268656716418,1,0.854700854700855
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.00958388806850849,753,600,153,0,0.796812749003984,1,0.886917960088692
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.010648764520565,708,600,108,0,0.847457627118644,1,0.91743119266055
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0117136409726215,679,600,79,0,0.883652430044183,1,0.938232994526974
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.012778517424678,659,600,59,0,0.910470409711684,1,0.953137410643368
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0138433938767345,636,600,36,0,0.943396226415094,1,0.970873786407767
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.014908270328791,626,600,26,0,0.958466453674121,1,0.978792822185971
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0159731467808475,618,600,18,0,0.970873786407767,1,0.985221674876847
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.017038023232904,613,600,13,0,0.978792822185971,1,0.989282769991756
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0181028996849605,610,600,10,0,0.983606557377049,1,0.991735537190083
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.019167776137017,608,600,8,0,0.986842105263158,1,0.993377483443709
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0202326525890735,604,600,4,0,0.993377483443709,1,0.996677740863787
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.02129752904113,601,600,1,0,0.998336106489185,1,0.999167360532889
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0223624054931865,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.023427281945243,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0244921583972995,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.025557034849356,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0266219113014125,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.027686787753469,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0287516642055255,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.029816540657582,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0308814171096385,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.031946293561695,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0330111700137515,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.034076046465808,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0351409229178645,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.036205799369921,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0372706758219775,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.038335552274034,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0394004287260905,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.040465305178147,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0415301816302035,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.04259505808226,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0436599345343165,600,600,0,0,1,1,1
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.044724810986373,599,599,0,1,1,0.998333333333333,0.999165971643036
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0457896874384295,598,598,0,2,1,0.996666666666667,0.998330550918197
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.046854563890486,598,598,0,2,1,0.996666666666667,0.998330550918197
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0479194403425425,598,598,0,2,1,0.996666666666667,0.998330550918197
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.048984316794599,597,597,0,3,1,0.995,0.99749373433584
Data_LLbetween_0100_LH_075_noise_000pct_rep_01,Full_HG,0,1,0.0500491932466555,596,596,0,4,1,0.993333333333333,0.996655518394649
