Condition,ConditionLabel,ExperimentType,RepeatID,n_cells,n_observed_variables,n_total_nodes,Actual_O_within_edges,Actual_O_between_edges,Actual_O_total_edges,Actual_OH_edges,Actual_OG_edges,Noise_variance_fraction,O_density_fraction,Mean_O_degree
Data_LL_0000_LLbetween_0000_LH_050_noise_000pct_rep_01,O_0000,O_density,1,10000,200,202,200,0,200,50,200,0,0.0100502512562814,2
Data_LL_0000_LLbetween_0000_LH_050_noise_000pct_rep_02,O_0000,O_density,2,10000,200,202,200,0,200,50,200,0,0.0100502512562814,2
Data_LL_0000_LLbetween_0000_LH_050_noise_000pct_rep_03,O_0000,O_density,3,10000,200,202,200,0,200,50,200,0,0.0100502512562814,2
Data_LL_0000_LLbetween_0000_LH_050_noise_010pct_rep_01,O_0000,O_density,1,10000,200,202,200,0,200,50,200,0.1,0.0100502512562814,2
Data_LL_0000_LLbetween_0000_LH_050_noise_010pct_rep_02,O_0000,O_density,2,10000,200,202,200,0,200,50,200,0.1,0.0100502512562814,2
Data_LL_0000_LLbetween_0000_LH_050_noise_010pct_rep_03,O_0000,O_density,3,10000,200,202,200,0,200,50,200,0.1,0.0100502512562814,2
Data_LL_0000_LLbetween_0000_LH_050_noise_025pct_rep_01,O_0000,O_density,1,10000,200,202,200,0,200,50,200,0.25,0.0100502512562814,2
Data_LL_0000_LLbetween_0000_LH_050_noise_025pct_rep_02,O_0000,O_density,2,10000,200,202,200,0,200,50,200,0.25,0.0100502512562814,2
Data_LL_0000_LLbetween_0000_LH_050_noise_025pct_rep_03,O_0000,O_density,3,10000,200,202,200,0,200,50,200,0.25,0.0100502512562814,2
Data_LL_0050_LH_050_LLbetween_0050_LH_050_noise_000pct_rep_01,O_0050_OH_050,Both_baseline,1,10000,200,202,200,50,250,50,200,0,0.0125628140703518,2.5
Data_LL_0050_LH_050_LLbetween_0050_LH_050_noise_000pct_rep_02,O_0050_OH_050,Both_baseline,2,10000,200,202,200,50,250,50,200,0,0.0125628140703518,2.5
Data_LL_0050_LH_050_LLbetween_0050_LH_050_noise_000pct_rep_03,O_0050_OH_050,Both_baseline,3,10000,200,202,200,50,250,50,200,0,0.0125628140703518,2.5
Data_LL_0050_LH_050_LLbetween_0050_LH_050_noise_010pct_rep_01,O_0050_OH_050,Both_baseline,1,10000,200,202,200,50,250,50,200,0.1,0.0125628140703518,2.5
