Fixed_within_group_O_edges,Added_between_group_O_edges,Total_true_O_edges,O_density_fraction,Mean_O_degree,Noise_variance_fraction,n_cells,n_observed_variables,n_total_nodes,True_OH_edges,True_OG_edges,Number_of_datasets,Number_of_repeats
200,0,200,0.0100502512562814,2,0,10000,200,202,50,200,3,3
200,0,200,0.0100502512562814,2,0.1,10000,200,202,50,200,3,3
200,0,200,0.0100502512562814,2,0.25,10000,200,202,50,200,3,3
200,50,250,0.0125628140703518,2.5,0,10000,200,202,50,200,3,3
200,50,250,0.0125628140703518,2.5,0.1,10000,200,202,50,200,3,3
200,50,250,0.0125628140703518,2.5,0.25,10000,200,202,50,200,3,3
200,200,400,0.0201005025125628,4,0,10000,200,202,50,200,3,3
200,200,400,0.0201005025125628,4,0.1,10000,200,202,50,200,3,3
200,200,400,0.0201005025125628,4,0.25,10000,200,202,50,200,3,3
200,1000,1200,0.0603015075376884,12,0,10000,200,202,50,200,3,3
200,1000,1200,0.0603015075376884,12,0.1,10000,200,202,50,200,3,3
200,1000,1200,0.0603015075376884,12,0.25,10000,200,202,50,200,3,3
