Condition,ConditionLabel,ExperimentType,RepeatID,Noise_variance_fraction,n_observed_variables,n_total_nodes,Actual_O_within_edges,Actual_O_between_edges,Actual_O_total_edges,O_density_fraction,Mean_O_degree,N_candidate_O_edges,N_true_O_edges,Positive_fraction,AUPRC,Normalized_AUPRC,TopK_recovery,Expected_TP_at_K,Boundary_tie_count_at_K,Has_boundary_tie_at_K,Relative_O_Frobenius_error,True_edge_Pearson_correlation,True_edge_sign_accuracy,Native_O_edge_count,Native_precision,Native_recall,Native_F1
Data_LL_0000_LLbetween_0000_LH_050_noise_000pct_rep_01,O_0000,O_density,1,0,200,202,200,0,200,0.0100502512562814,2,19900,200,0.0100502512562814,1,1,1,200,1,0,0.196259082542394,0.973935650501969,1,488,0.409836065573771,1,0.581395348837209
Data_LL_0000_LLbetween_0000_LH_050_noise_000pct_rep_02,O_0000,O_density,2,0,200,202,200,0,200,0.0100502512562814,2,19900,200,0.0100502512562814,1,1,1,200,1,0,0.204667511384688,0.975715986894105,1,526,0.380228136882129,1,0.550964187327824
Data_LL_0000_LLbetween_0000_LH_050_noise_000pct_rep_03,O_0000,O_density,3,0,200,202,200,0,200,0.0100502512562814,2,19900,200,0.0100502512562814,1,1,1,200,1,0,0.223233792102188,0.968944342587082,1,245,0.816326530612245,1,0.898876404494382
Data_LL_0000_LLbetween_0000_LH_050_noise_010pct_rep_01,O_0000,O_density,1,0.1,200,202,200,0,200,0.0100502512562814,2,19900,200,0.0100502512562814,1,1,1,200,1,0,0.321140036347365,0.952325907545854,1,412,0.485436893203884,1,0.65359477124183
Data_LL_0000_LLbetween_0000_LH_050_noise_010pct_rep_02,O_0000,O_density,2,0.1,200,202,200,0,200,0.0100502512562814,2,19900,200,0.0100502512562814,1,1,1,200,1,0,0.322440355496102,0.957965748471525,1,428,0.467289719626168,1,0.636942675159236
Data_LL_0000_LLbetween_0000_LH_050_noise_010pct_rep_03,O_0000,O_density,3,0.1,200,202,200,0,200,0.0100502512562814,2,19900,200,0.0100502512562814,1,1,1,200,1,0,0.361849434461218,0.910132983928863,1,239,0.836820083682008,1,0.911161731207289
Data_LL_0000_LLbetween_0000_LH_050_noise_025pct_rep_01,O_0000,O_density,1,0.25,200,202,200,0,200,0.0100502512562814,2,19900,200,0.0100502512562814,1,1,1,200,1,0,0.506800046507139,0.847495743506305,1,294,0.680272108843537,1,0.809716599190283
Data_LL_0000_LLbetween_0000_LH_050_noise_025pct_rep_02,O_0000,O_density,2,0.25,200,202,200,0,200,0.0100502512562814,2,19900,200,0.0100502512562814,0.999784171420685,0.999781980267595,0.995,199,1,0,0.507015502097561,0.863678097025417,1,329,0.60790273556231,1,0.756143667296786
Data_LL_0000_LLbetween_0000_LH_050_noise_025pct_rep_03,O_0000,O_density,3,0.25,200,202,200,0,200,0.0100502512562814,2,19900,200,0.0100502512562814,0.999975062189055,0.999974809013309,0.995,199,1,0,0.512453467528092,0.842399897849223,1,306,0.65359477124183,1,0.790513833992095
Data_LL_0050_LH_050_LLbetween_0050_LH_050_noise_000pct_rep_01,O_0050_OH_050,Both_baseline,1,0,200,202,200,50,250,0.0125628140703518,2.5,19900,250,0.0125628140703518,1,1,1,250,1,0,0.224287431697197,0.944793390624153,1,328,0.76219512195122,1,0.865051903114187
Data_LL_0050_LH_050_LLbetween_0050_LH_050_noise_000pct_rep_02,O_0050_OH_050,Both_baseline,2,0,200,202,200,50,250,0.0125628140703518,2.5,19900,250,0.0125628140703518,1,1,1,250,1,0,0.219673956398826,0.953425382634803,1,301,0.830564784053156,1,0.907441016333938
Data_LL_0050_LH_050_LLbetween_0050_LH_050_noise_000pct_rep_03,O_0050_OH_050,Both_baseline,3,0,200,202,200,50,250,0.0125628140703518,2.5,19900,250,0.0125628140703518,1,1,1,250,1,0,0.210205443670289,0.96609015435752,1,521,0.479846449136276,1,0.648508430609598
Data_LL_0050_LH_050_LLbetween_0050_LH_050_noise_010pct_rep_01,O_0050_OH_050,Both_baseline,1,0.1,200,202,200,50,250,0.0125628140703518,2.5,19900,250,0.0125628140703518,1,1,1,250,1,0,0.353379375792621,0.886284496982415,1,307,0.814332247557003,1,0.897666068222621
Data_LL_0050_LH_050_LLbetween_0050_LH_050_noise_010pct_rep_02,O_0050_OH_050,Both_baseline,2,0.1,200,202,200,50,250,0.0125628140703518,2.5,19900,250,0.0125628140703518,1,1,1,250,1,0,0.320528560410232,0.941886258522352,1,493,0.50709939148073,1,0.672947510094213
Data_LL_0050_LH_050_LLbetween_0050_LH_050_noise_010pct_rep_03,O_0050_OH_050,Both_baseline,3,0.1,200,202,200,50,250,0.0125628140703518,2.5,19900,250,0.0125628140703518,1,1,1,250,1,0,0.333602784597177,0.943041530404656,1,462,0.541125541125541,1,0.702247191011236
Data_LL_0050_LH_050_LLbetween_0050_LH_050_noise_025pct_rep_01,O_0050_OH_050,Both_baseline,1,0.25,200,202,200,50,250,0.0125628140703518,2.5,19900,250,0.0125628140703518,0.999968190729147,0.999967786031044,0.996,249,1,0,0.499418049478795,0.831018053455395,1,427,0.585480093676815,1,0.738552437223043
Data_LL_0050_LH_050_LLbetween_0050_LH_050_noise_025pct_rep_02,O_0050_OH_050,Both_baseline,2,0.25,200,202,200,50,250,0.0125628140703518,2.5,19900,250,0.0125628140703518,1,1,1,250,1,0,0.498479032513832,0.840413046826934,1,372,0.672043010752688,1,0.803858520900322
Data_LL_0050_LH_050_LLbetween_0050_LH_050_noise_025pct_rep_03,O_0050_OH_050,Both_baseline,3,0.25,200,202,200,50,250,0.0125628140703518,2.5,19900,250,0.0125628140703518,1,1,1,250,1,0,0.51587816254121,0.827782119644599,1,372,0.672043010752688,1,0.803858520900322
Data_LL_0200_LLbetween_0200_LH_050_noise_000pct_rep_01,O_0200,O_density,1,0,200,202,200,200,400,0.0201005025125628,4,19900,400,0.0201005025125628,0.999744206667099,0.999738959624373,0.9975,399,1,0,0.229166955583411,0.96275030028519,1,1041,0.384245917387128,1,0.555170020818876
Data_LL_0200_LLbetween_0200_LH_050_noise_000pct_rep_02,O_0200,O_density,2,0,200,202,200,200,400,0.0201005025125628,4,19900,400,0.0201005025125628,0.999987546680562,0.999987291227856,0.9975,399,1,0,0.228453136784566,0.946069725761743,1,974,0.410677618069815,1,0.582241630276565
Data_LL_0200_LLbetween_0200_LH_050_noise_000pct_rep_03,O_0200,O_density,3,0,200,202,200,200,400,0.0201005025125628,4,19900,400,0.0201005025125628,0.99998122642534,0.999980841326372,0.9975,399,1,0,0.225085151674351,0.955409670450351,1,900,0.444444444444444,1,0.615384615384615
Data_LL_0200_LLbetween_0200_LH_050_noise_010pct_rep_01,O_0200,O_density,1,0.1,200,202,200,200,400,0.0201005025125628,4,19900,400,0.0201005025125628,0.99990536488671,0.999903423653617,0.995,398,1,0,0.334538268254795,0.944229971327373,1,842,0.475059382422803,1,0.644122383252818
Data_LL_0200_LLbetween_0200_LH_050_noise_010pct_rep_02,O_0200,O_density,2,0.1,200,202,200,200,400,0.0201005025125628,4,19900,400,0.0201005025125628,1,1,1,400,1,0,0.335629508027768,0.932000094710782,1,946,0.422832980972516,1,0.594353640416048
Data_LL_0200_LLbetween_0200_LH_050_noise_010pct_rep_03,O_0200,O_density,3,0.1,200,202,200,200,400,0.0201005025125628,4,19900,400,0.0201005025125628,1,1,1,400,1,0,0.342374388563667,0.926695049097533,1,626,0.638977635782748,1,0.779727095516569
Data_LL_0200_LLbetween_0200_LH_050_noise_025pct_rep_01,O_0200,O_density,1,0.25,200,202,200,200,400,0.0201005025125628,4,19900,400,0.0201005025125628,0.999850192042151,0.9998471190584,0.9925,397,1,0,0.502588374288083,0.873460064611546,1,762,0.5249343832021,1,0.688468158347676
Data_LL_0200_LLbetween_0200_LH_050_noise_025pct_rep_02,O_0200,O_density,2,0.25,200,202,200,200,400,0.0201005025125628,4,19900,400,0.0201005025125628,0.999993757793017,0.999993629747746,0.9975,399,1,0,0.503236028605466,0.871070721111911,1,829,0.482509047044632,1,0.65093572009764
Data_LL_0200_LLbetween_0200_LH_050_noise_025pct_rep_03,O_0200,O_density,3,0.25,200,202,200,200,400,0.0201005025125628,4,19900,400,0.0201005025125628,0.999896116900752,0.999893985965382,0.995,398,1,0,0.498798337600271,0.865726955415592,1,801,0.499375780274657,1,0.666111573688593
Data_LL_1000_LLbetween_1000_LH_050_noise_000pct_rep_01,O_1000,O_density,1,0,200,202,200,1000,1200,0.0603015075376884,12,19900,1200,0.0603015075376884,0.999489807352461,0.999457067717325,0.9875,1185,1,0,0.282078162230768,0.871920906046947,1,2626,0.456968773800457,1,0.627286983795086
Data_LL_1000_LLbetween_1000_LH_050_noise_000pct_rep_02,O_1000,O_density,2,0,200,202,200,1000,1200,0.0603015075376884,12,19900,1200,0.0603015075376884,0.999539345048856,0.999509784303328,0.990833333333333,1189,1,0,0.294723551360275,0.86935546387364,1,2255,0.532150776053215,1,0.694645441389291
Data_LL_1000_LLbetween_1000_LH_050_noise_000pct_rep_03,O_1000,O_density,3,0,200,202,200,1000,1200,0.0603015075376884,12,19900,1200,0.0603015075376884,0.998320680560144,0.998212916745822,0.984166666666667,1181,1,0,0.295914647974982,0.871975335727216,1,2592,0.462962962962963,1,0.632911392405063
Data_LL_1000_LLbetween_1000_LH_050_noise_010pct_rep_01,O_1000,O_density,1,0.1,200,202,200,1000,1200,0.0603015075376884,12,19900,1200,0.0603015075376884,0.997215673239876,0.997036999864895,0.974166666666667,1169,1,0,0.397961669130946,0.820353131225441,1,3407,0.352216025829175,1,0.520946385934448
Data_LL_1000_LLbetween_1000_LH_050_noise_010pct_rep_02,O_1000,O_density,2,0.1,200,202,200,1000,1200,0.0603015075376884,12,19900,1200,0.0603015075376884,0.997229892783992,0.997052131893125,0.976666666666667,1172,1,0,0.405559921576393,0.824053211788985,1,2886,0.415800415800416,1,0.587371512481645
Data_LL_1000_LLbetween_1000_LH_050_noise_010pct_rep_03,O_1000,O_density,3,0.1,200,202,200,1000,1200,0.0603015075376884,12,19900,1200,0.0603015075376884,0.994343925477438,0.993980968823584,0.9675,1161,1,0,0.418729400201276,0.811885886127802,1,3132,0.383141762452107,1,0.554016620498615
Data_LL_1000_LLbetween_1000_LH_050_noise_025pct_rep_01,O_1000,O_density,1,0.25,200,202,200,1000,1200,0.0603015075376884,12,19900,1200,0.0603015075376884,0.982352483940077,0.981220023016446,0.936666666666667,1124,1,0,0.578839164363486,0.715829632603603,0.998333333333333,3366,0.355912061794415,0.998333333333333,0.524748138414367
Data_LL_1000_LLbetween_1000_LH_050_noise_025pct_rep_02,O_1000,O_density,2,0.25,200,202,200,1000,1200,0.0603015075376884,12,19900,1200,0.0603015075376884,0.984683560881571,0.983700687783062,0.940833333333333,1129,1,0,0.569684572887055,0.731449806788645,0.998333333333333,3452,0.347045191193511,0.998333333333333,0.515047291487532
Data_LL_1000_LLbetween_1000_LH_050_noise_025pct_rep_03,O_1000,O_density,3,0.25,200,202,200,1000,1200,0.0603015075376884,12,19900,1200,0.0603015075376884,0.973609026499695,0.971915488093259,0.92,1104,1,0,0.594757503450935,0.690949354195066,0.995,3266,0.365584813227189,0.995,0.534706672637707
