Actual_O_total_edges,Noise_variance_fraction,GroupCount,mean_AUPRC,std_AUPRC,mean_Normalized_AUPRC,std_Normalized_AUPRC,mean_TopK_recovery,std_TopK_recovery,mean_Relative_O_Frobenius_error,std_Relative_O_Frobenius_error,mean_True_edge_Pearson_correlation,std_True_edge_Pearson_correlation,mean_True_edge_sign_accuracy,std_True_edge_sign_accuracy,mean_Native_O_edge_count,std_Native_O_edge_count,mean_Native_precision,std_Native_precision,mean_Native_recall,std_Native_recall,mean_Native_F1,std_Native_F1
200,0,3,1,0,1,0,1,0,0.208053462009757,0.0138024358424648,0.972865326661052,0.00351041115804591,1,0,419.666666666667,152.454364756583,0.535463577689382,0.243684542192904,1,0,0.677078646886472,0.19268419202837
200,0.1,3,1,0,1,0,1,0,0.335143275434895,0.0231373487013223,0.940141546648747,0.0261407216580119,1,0,359.666666666667,104.806170301816,0.59651556550402,0.2083075276359,1,0,0.733899725869452,0.15373902230169
200,0.25,3,0.99991974453658,0.000118070004314492,0.999918929760301,0.000119268684561368,0.996666666666667,0.00288675134594813,0.50875633871093,0.00320361926512406,0.851191246126982,0.0111100402681548,1,0,309.666666666667,17.7857620959388,0.647256538549226,0.03659865356169,1,0,0.785458033493055,0.0271419527103503
250,0,3,1,0,1,0,1,0,0.218055610588771,0.00717912801586586,0.954769642538825,0.0107118304876376,1,0,383.333333333333,119.984721249555,0.690868785046884,0.185920473224065,1,0,0.807000450019241,0.138884842197769
250,0.1,3,1,0,1,0,1,0,0.335836906933343,0.016538968975776,0.923737428636474,0.0324403333890579,1,0,420.666666666667,99.6510578635939,0.620852393387758,0.168419966725822,1,0,0.75762025644269,0.122164806197549
250,0.25,3,0.999989396909716,1.83650910897696e-05,0.999989262010348,1.85987436481736e-05,0.998666666666667,0.00230940107675851,0.504591748177946,0.0097855914537448,0.833071073308976,0.00656096397343863,1,0,390.333333333333,31.7542648054294,0.64318870506073,0.0499771234755946,1,0,0.782089826341229,0.0377044849907971
400,0,3,0.999904326591,0.000138703925428044,0.999902364059534,0.000141549134154783,0.9975,0,0.227568414680776,0.00217998410285595,0.954743232165761,0.00836023304689751,1,0,971.666666666667,70.528953865298,0.413122659967129,0.0301736530333557,1,0,0.584265422160019,0.0301582683499857
400,0.1,3,0.999968454962237,5.46376081326429e-05,0.999967807884539,5.57583795815393e-05,0.998333333333333,0.00288675134594813,0.337514054948743,0.0042443884361351,0.934308371711896,0.00899246803925538,1,0,804.666666666667,163.233983389898,0.512289999726022,0.112779506557453,1,0,0.672734373061812,0.0959417215532364
400,0.25,3,0.99991335557864,7.33188939973227e-05,0.999911578257176,7.48228713101289e-05,0.995,0.0025,0.50154091349794,0.00239711408668107,0.870085913713016,0.00395949853754556,1,0,797.333333333333,33.6501609703926,0.502273070173796,0.021360547829779,1,0,0.668505150711303,0.0188803572124821
1200,0,3,0.999116610987154,0.000689740842143586,0.999059922922158,0.000734002286559223,0.9875,0.00333333333333335,0.290905453855342,0.00766782145432054,0.871083901882601,0.00149711860272978,1,0,2491,205.087786081961,0.484027504272212,0.0417836037353196,1,0,0.651614605863147,0.0373717553456021
1200,0.1,3,0.996263163833769,0.00166212437866961,0.996023366860535,0.00176878476660558,0.972777777777778,0.00473853391923109,0.407416996969539,0.0105076738726636,0.818764076380742,0.00623736922996538,1,0,3141.66666666667,260.634482241574,0.383719401360566,0.0317961304569459,1,0,0.554111506304902,0.0332126649290592
1200,0.25,3,0.980215023773781,0.00583848267238269,0.978945399630922,0.00621314466205432,0.9325,0.0110239637961024,0.581093746900492,0.0126876049188734,0.712742931195772,0.0204259016754955,0.997222222222222,0.00192450089729873,3361.33333333333,93.0877722009359,0.356180688738372,0.00927272972830419,0.997222222222222,0.00192450089729873,0.524834034179869,0.00982997204288297
